역이름,위도,경도
신촌역,37.55519546,126.9369627
효창공원앞역,37.53929433,126.9613936
공덕역,37.54453447,126.9514331
서강대역,37.55213127,126.935494
홍대입구역,37.55686353,126.923765
수색역,37.58080849,126.8956414
화전역,37.60330604,126.8683857
강매역,37.61228686,126.8444948
행신역,37.61196662,126.8342796
능곡역,37.61901009,126.8204224
곡산역,37.64575754,126.8017978
백마역,37.6580166,126.7946029
풍산역,37.67232736,126.7862662
일산역,37.6820093,126.7700045
탄현역,37.69397448,126.7610556
야당역,37.7126074,126.7614495
운정역,37.72559277,126.7671475
금릉역,37.75132092,126.7653875
금촌역,37.76615076,126.7746017
파주역,37.81535838,126.7926913
문산역,37.85461245,126.7873772
임진강역,37.88826421,126.7470603
디지털미디어시티역,37.57600202,126.9012631
대곡역,37.63168113,126.810921
한남역,37.52942532,127.0091865
용산역,37.53006915,126.964815
회기역,37.5897782,127.0580393
가좌역,37.56875056,126.9148106
광운대역,37.62383376,127.0616906
청량리역,37.58071852,127.0484998
회기역,37.5897782,127.0580393
상봉역,37.59669897,127.0857421
망우역,37.59928883,127.0923583
신내역,37.61248742,127.1042669
갈매역,37.63406534,127.1147426
별내역,37.64205356,127.1269691
퇴계원역,37.64825136,127.1435235
사릉역,37.65110718,127.1769126
금곡역,37.63734436,127.2075155
평내호평역,37.65320301,127.2444344
천마산역,37.6592205,127.2850491
마석역,37.65277422,127.3116774
대성리역,37.68398291,127.3796926
청평역,37.73550205,127.4266046
상천역,37.77017487,127.4544975
가평역,37.81450566,127.5107348
굴봉산역,37.83205898,127.5577698
백양리역,37.83078819,127.5893159
강촌역,37.80570741,127.6341287
김유정역,37.81843831,127.7143057
남춘천역,37.86403969,127.7238142
춘천역,37.88449835,127.7166939
중랑역,37.5948318,127.0756623
마곡나루역,37.56670899,126.8274074
김포공항역,37.56194774,126.8019069
계양역,37.57176634,126.7362714
검암역,37.56924921,126.6736388
서울역,37.55331631,126.9697383
공덕역,37.54453447,126.9514331
홍대입구역,37.55686353,126.923765
디지털미디어시티역,37.57600202,126.9012631
청라국제도시역,37.55645368,126.6246449
운서역,37.49280526,126.4937254
공항화물청사역,37.45905522,126.4774964
인천공항1터미널역,37.44751771,126.452579
인천공항2터미널역,37.46878217,126.4336365
영종역,37.51201816,126.5249715
구룡역,37.48702744,127.0594749
선릉역,37.50449378,127.0489481
한티역,37.4962749,127.0529007
도곡역,37.49097578,127.0554977
개포동역,37.48913227,127.0661026
대모산입구역,37.49154287,127.0730703
왕십리역,37.56126116,127.0370785
수서역,37.48528432,127.1044517
복정역,37.47073829,127.1267014
서울숲역,37.54363499,127.0447417
압구정로데오역,37.52750857,127.0405915
강남구청역,37.51720086,127.0412872
선정릉역,37.51092904,127.0436137
가천대역,37.4485554,127.1266866
태평역,37.43977839,127.127734
모란역,37.43402749,127.1299614
야탑역,37.41135924,127.1287249
서현역,37.38500102,127.1234179
수내역,37.37846877,127.1142843
정자역,37.3661666,127.1080794
미금역,37.3500734,127.1090044
이매역,37.39470993,127.1272961
구성역,37.29896985,127.1056823
신갈역,37.28613395,127.1112802
상갈역,37.26180824,127.1087192
청명역,37.25952516,127.0789555
영통역,37.2514927,127.0713274
망포역,37.24582396,127.0568503
매탄권선역,37.2524983,127.0408041
수원시청역,37.2619082,127.0308437
매교역,37.26551532,127.0158961
청량리역,37.58071852,127.0484998
보정역,37.31277133,127.1083188
오리역,37.33981974,127.1089444
죽전역,37.32437739,127.1075005
기흥역,37.27544207,127.1170374
수원역,37.2657867,127.0000902
오이도역,37.36169184,126.7383855
달월역,37.38001592,126.74539
월곶역,37.3918135,126.7427076
소래포구역,37.4009294,126.7334831
인천논현역,37.40065197,126.7225515
호구포역,37.40162775,126.7086787
남동인더스파크역,37.40773874,126.695214
원인재역,37.41236884,126.6878756
연수역,37.41791267,126.6787475
송도역,37.42995442,126.6546757
인하대역,37.44832057,126.6497545
숭의역,37.46079235,126.6383933
인천역,37.47614957,126.6168166
신포역,37.46844368,126.6245202
정자역,37.3661666,127.1080794
미금역,37.3500734,127.1090044
동천역,37.33782491,127.1028478
수지구청역,37.32247817,127.0946585
성복역,37.31351444,127.0803656
상현역,37.29782538,127.069341
광교중앙역,37.28837349,127.0517173
양재시민의숲역,37.47011519,127.0384578
판교역,37.39476222,127.1111922
광교역,37.30210833,127.0442598
강남역,37.49808544,127.0279777
양재역,37.48456871,127.034146
청계산입구역,37.44834032,127.0547203
계양역,37.57176634,126.7362714
귤현역,37.56628441,126.7426746
박촌역,37.55365762,126.7450494
임학역,37.54499402,126.7386289
계산역,37.54329353,126.7277267
경인교대입구역,37.53810989,126.7226087
작전역,37.53025304,126.7225473
갈산역,37.51711408,126.7215327
부평구청역,37.50741907,126.721433
부평시장역,37.49835698,126.7222809
부평역,37.48944182,126.7243266
동수역,37.48549993,126.7185973
부평삼거리역,37.47782129,126.7102825
인천시청역,37.45772679,126.7022222
예술회관역,37.44851514,126.7009026
인천터미널역,37.44191665,126.6996858
문학경기장역,37.43463332,126.6984495
선학역,37.42693984,126.6989096
신연수역,37.41809734,126.6940197
원인재역,37.41236884,126.6878756
동춘역,37.40456527,126.6808375
동막역,37.39793159,126.6734345
캠퍼스타운역,37.38843935,126.6622061
테크노파크역,37.38227737,126.6562946
지식정보단지역,37.3774892,126.6458615
인천대입구역,37.38619191,126.6395197
센트럴파크역,37.39284549,126.6349707
국제업무지구역,37.39964339,126.6305332
간석오거리역,37.46707543,126.707905
